respondent_id,movie_code,movie_rank,movie_title,film_key,episode_order,has_ranking
3292879998.0,rank_episode_i_the_phantom_menace,3.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
3292879538.0,rank_episode_i_the_phantom_menace,,Episode I: The Phantom Menace,the_phantom_menace,1,0
3292765271.0,rank_episode_i_the_phantom_menace,1.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
3292763116.0,rank_episode_i_the_phantom_menace,5.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
3292731220.0,rank_episode_i_the_phantom_menace,5.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
3292719380.0,rank_episode_i_the_phantom_menace,1.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
3292684787.0,rank_episode_i_the_phantom_menace,6.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
3292663732.0,rank_episode_i_the_phantom_menace,4.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
3292654043.0,rank_episode_i_the_phantom_menace,5.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
3292640424.0,rank_episode_i_the_phantom_menace,1.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
3292637870.0,rank_episode_i_the_phantom_menace,,Episode I: The Phantom Menace,the_phantom_menace,1,0
3292635062.0,rank_episode_i_the_phantom_menace,,Episode I: The Phantom Menace,the_phantom_menace,1,0
3292609214.0,rank_episode_i_the_phantom_menace,3.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
3292596911.0,rank_episode_i_the_phantom_menace,4.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
3292587240.0,rank_episode_i_the_phantom_menace,4.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
3292583038.0,rank_episode_i_the_phantom_menace,4.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
3292580516.0,rank_episode_i_the_phantom_menace,4.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
3292572872.0,rank_episode_i_the_phantom_menace,1.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
3292565282.0,rank_episode_i_the_phantom_menace,6.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
3292562297.0,rank_episode_i_the_phantom_menace,6.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
3292522349.0,rank_episode_i_the_phantom_menace,6.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
3292521066.0,rank_episode_i_the_phantom_menace,3.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
3292511801.0,rank_episode_i_the_phantom_menace,6.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
3292483200.0,rank_episode_i_the_phantom_menace,6.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
3292465491.0,rank_episode_i_the_phantom_menace,1.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
3292447974.0,rank_episode_i_the_phantom_menace,,Episode I: The Phantom Menace,the_phantom_menace,1,0
3292420123.0,rank_episode_i_the_phantom_menace,4.0,Episode I: The Phantom Menace,the_phantom_menace,1,1
