respondent_id,character_code,opinion_label,character_key,character_name,opinion_score,has_character_opinion,is_unfamiliar
3292879998.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292879538.0,opinion_han_solo,,han_solo,Han Solo,,0,0
3292765271.0,opinion_han_solo,somewhat favorably,han_solo,Han Solo,1.0,1,0
3292763116.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292731220.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292719380.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292684787.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292663732.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292654043.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292640424.0,opinion_han_solo,neither favorably nor unfavorably (neutral),han_solo,Han Solo,0.0,1,0
3292637870.0,opinion_han_solo,,han_solo,Han Solo,,0,0
3292635062.0,opinion_han_solo,,han_solo,Han Solo,,0,0
3292609214.0,opinion_han_solo,somewhat favorably,han_solo,Han Solo,1.0,1,0
3292596911.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292587240.0,opinion_han_solo,somewhat favorably,han_solo,Han Solo,1.0,1,0
3292583038.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292580516.0,opinion_han_solo,neither favorably nor unfavorably (neutral),han_solo,Han Solo,0.0,1,0
3292572872.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292565282.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292562297.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292522349.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292521066.0,opinion_han_solo,neither favorably nor unfavorably (neutral),han_solo,Han Solo,0.0,1,0
3292511801.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292483200.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292465491.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292447974.0,opinion_han_solo,,han_solo,Han Solo,,0,0
3292420123.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292384040.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292380493.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292376985.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292366792.0,opinion_han_solo,neither favorably nor unfavorably (neutral),han_solo,Han Solo,0.0,1,0
3292339379.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292330840.0,opinion_han_solo,somewhat unfavorably,han_solo,Han Solo,-1.0,1,0
3292318652.0,opinion_han_solo,,han_solo,Han Solo,,0,0
3292297848.0,opinion_han_solo,,han_solo,Han Solo,,0,0
3292290677.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292281095.0,opinion_han_solo,somewhat favorably,han_solo,Han Solo,1.0,1,0
3292279889.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292264069.0,opinion_han_solo,somewhat favorably,han_solo,Han Solo,1.0,1,0
3292257520.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292249492.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292222729.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292221635.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292218251.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292214307.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292210606.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292202220.0,opinion_han_solo,,han_solo,Han Solo,,0,0
3292189580.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292187343.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292186608.0,opinion_han_solo,,han_solo,Han Solo,,0,0
3292178389.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292176862.0,opinion_han_solo,neither favorably nor unfavorably (neutral),han_solo,Han Solo,0.0,1,0
3292173922.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292167131.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292162057.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292161407.0,opinion_han_solo,,han_solo,Han Solo,,0,0
3292156614.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292148570.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292144665.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292143503.0,opinion_han_solo,somewhat favorably,han_solo,Han Solo,1.0,1,0
3292131636.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292125068.0,opinion_han_solo,,han_solo,Han Solo,,0,0
3292120160.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292103680.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292050153.0,opinion_han_solo,somewhat favorably,han_solo,Han Solo,1.0,1,0
3292041365.0,opinion_han_solo,somewhat favorably,han_solo,Han Solo,1.0,1,0
3292033243.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292031637.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3292008762.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
3291992352.0,opinion_han_solo,very favorably,han_solo,Han Solo,2.0,1,0
